"","day","mod_gpp_sim","mod_gpp_unc95_sim","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"158",6566,0.00998859922178153,0.0126882078553695,14,2018,NA,2.116306013,NA,-9999,NA,0.911057024,2017-12-22
"159",6573,0.0101195690138335,0.0130453801814496,21,2018,NA,2.116306013,NA,-9999,NA,0.911057024,2017-12-29
"160",6580,0.0077601480487517,0.010140913274694,28,2018,NA,2.116306013,NA,-9999,NA,0.911057024,2018-01-05
"161",6587,0.00887426233377051,0.0118069089488869,35,2018,NA,2.116306013,NA,-9999,0.933354552,0.715033242,2018-01-12
"162",6594,0.00878203323207592,0.0117367548558992,42,2018,NA,2.116306013,0.21,0.25,0.959183062,0.703569058,2018-01-19
"163",6601,0.0135832302855279,0.0183891303466856,49,2018,0.354697243,1.551265919,0.43,0.25,1.174339545,0.601849895,2018-01-26
"164",6608,0.0141841802408577,0.019303561102018,56,2018,NA,2.116306013,0.83,0.25,1.306434328,0.631976765,2018-02-02
"165",6615,0.0127984615974265,0.0170850989832326,63,2018,NA,2.116306013,0.6,0.25,0.814552519,0.631847139,2018-02-09
"166",6622,0.0228985479438749,0.029917231245014,70,2018,NA,2.116306013,0.63,0.25,1.0096633,0.627471602,2018-02-16
"167",6629,0.0249890346593372,0.0300673914387757,77,2018,0.50152409,1.434183233,0.56,0.25,1.145088436,0.601849895,2018-02-23
"168",6636,0.064992293246143,0.0780429322848118,84,2018,0.276111822,1.51910041,NA,-9999,1.542796228,0.663610906,2018-03-02
"169",6643,0.0995536594013982,0.117310852795698,91,2018,0.496529147,1.404940385,0.41,0.26,1.45110686,0.611954787,2018-03-09
"170",6650,0.419141942859201,0.480225643582705,98,2018,0.795770167,1.51910041,0.64,0.25,2.145839068,0.637170289,2018-03-16
"171",6657,0.824447989920376,0.89972895733708,105,2018,NA,2.116306013,1.04,0.25,2.987880033,0.67177564,2018-03-23
"172",6664,1.67500695567686,1.76882631254575,112,2018,NA,2.116306013,1.2,0.25,1.998208584,0.766503734,2018-03-30
"173",6671,3.18196097463504,3.28912380624821,119,2018,6.318071331,1.204375413,1.74,0.36,-0.301862573,0.59680318,2018-04-06
"174",6678,5.63206887344745,5.73412271679581,126,2018,7.079498459,1.361206314,4.61,0.94,-2.193820241,0.59634885,2018-04-13
"175",6685,7.78478083947688,7.88536466856165,133,2018,9.880221045,1.5611025,5.13,1.04,-3.840214156,0.632998576,2018-04-20
"176",6692,10.1587796339882,10.2474328700354,140,2018,10.00254459,1.440603786,5.4,1.09,-4.776364213,0.59634885,2018-04-27
"177",6699,10.9295772370711,11.0108113733528,147,2018,12.2087576,1.439506478,NA,-9999,-4.970549884,0.68785308,2018-05-04
"178",6706,12.1015803005124,12.1773984996898,154,2018,12.25351418,1.641947261,5.76,1.52,-5.360537087,0.652790359,2018-05-11
"179",6713,13.1461053058799,13.2435270751549,161,2018,11.78869419,1.496554683,5.2,2.11,-6.40737513,0.726395796,2018-05-18
