"","week","AverageWeeklyMeanT","year","WeeklyMeanT","tempAnomaly","Drought_Status"
"714",23,14.6589910714286,"2000",15.5654285714286,0.906437499999999,"1989-2020"
"715",23,14.6589910714286,"2015",15.5574285714286,0.8984375,"1989-2020"
"716",23,14.6589910714286,"1998",16.889,2.23000892857143,"1989-2020"
"717",23,14.6589910714286,"2002",15.232,0.573008928571427,"1989-2020"
"718",23,14.6589910714286,"2008",17.1798571428571,2.52086607142857,"1989-2020"
"719",23,14.6589910714286,"2010",17.687,3.02800892857143,"2010"
"720",23,14.6589910714286,"1994",11.2964285714286,-3.3625625,"1989-2020"
"721",23,14.6589910714286,"2017",13.8817142857143,-0.777276785714287,"1989-2020"
"722",23,14.6589910714286,"2006",11.924,-2.73499107142857,"1989-2020"
"723",23,14.6589910714286,"1992",14.46,-0.198991071428571,"1989-2020"
"724",23,14.6589910714286,"2016",16.7441428571429,2.08515178571429,"1989-2020"
"725",23,14.6589910714286,"2011",16.6574285714286,1.9984375,"1989-2020"
"726",23,14.6589910714286,"1999",12.4362857142857,-2.22270535714286,"1989-2020"
"727",23,14.6589910714286,"2009",10.7848571428571,-3.87413392857143,"1989-2020"
"728",23,14.6589910714286,"1996",17.913,3.25400892857143,"1989-2020"
"729",23,14.6589910714286,"2019",16.8157142857143,2.15672321428571,"2019"
"730",23,14.6589910714286,"1995",11.1338571428571,-3.52513392857143,"1989-2020"
"731",23,14.6589910714286,"2018",19.1488571428571,4.48986607142857,"2018"
"732",23,14.6589910714286,"1993",17.5042857142857,2.84529464285714,"1989-2020"
"733",23,14.6589910714286,"2003",19.4205714285714,4.76158035714286,"2003"
"734",23,14.6589910714286,"2020",12.5604285714286,-2.0985625,"1989-2020"
"735",23,14.6589910714286,"1997",16.6225714285714,1.96358035714286,"1989-2020"
"736",24,14.4680580357143,"2013",15.4348571428571,0.966799107142856,"1989-2020"
"737",24,14.4680580357143,"2014",14.2904285714286,-0.177629464285715,"1989-2020"
"738",24,14.4680580357143,"1989",14.4504285714286,-0.0176294642857151,"1989-2020"
"739",24,14.4680580357143,"2003",17.3888571428571,2.92079910714286,"2003"
"740",24,14.4680580357143,"2000",16.6995714285714,2.23151339285714,"1989-2020"
"741",24,14.4680580357143,"2001",13.2921428571429,-1.17591517857143,"1989-2020"
"742",24,14.4680580357143,"2015",14.8777142857143,0.409656249999999,"1989-2020"
"743",24,14.4680580357143,"2010",13.9642857142857,-0.503772321428572,"2010"
"744",24,14.4680580357143,"1990",12.1028571428571,-2.36520089285714,"1989-2020"
"745",24,14.4680580357143,"1997",15.5531428571429,1.08508482142857,"1989-2020"
"746",24,14.4680580357143,"2012",13.207,-1.26105803571429,"1989-2020"
"747",24,14.4680580357143,"2020",16.3428571428571,1.87479910714286,"1989-2020"
"748",24,14.4680580357143,"1994",11.3362857142857,-3.13177232142857,"1989-2020"
"749",24,14.4680580357143,"1991",12.3938571428571,-2.07420089285714,"1989-2020"
"750",24,14.4680580357143,"1992",15.0295714285714,0.561513392857144,"1989-2020"
"751",24,14.4680580357143,"2016",13.9797142857143,-0.48834375,"1989-2020"
"752",24,14.4680580357143,"2005",13.5072857142857,-0.960772321428571,"1989-2020"
"753",24,14.4680580357143,"1998",11.5224285714286,-2.94562946428571,"1989-2020"
"754",24,14.4680580357143,"2002",15.7802857142857,1.31222767857143,"1989-2020"
"755",24,14.4680580357143,"1996",14.8677142857143,0.39965625,"1989-2020"
"756",24,14.4680580357143,"2011",15.4901428571429,1.02208482142857,"1989-2020"
"757",24,14.4680580357143,"2019",16.7657142857143,2.29765625,"2019"
"758",24,14.4680580357143,"1999",14.7115714285714,0.243513392857142,"1989-2020"
"759",24,14.4680580357143,"2018",15.7492857142857,1.28122767857143,"2018"
"760",24,14.4680580357143,"2009",12.756,-1.71205803571429,"1989-2020"
"761",24,14.4680580357143,"2006",17.9535714285714,3.48551339285714,"1989-2020"
"762",24,14.4680580357143,"2017",16.0411428571429,1.57308482142857,"1989-2020"
"763",24,14.4680580357143,"1995",10.4175714285714,-4.05048660714286,"1989-2020"
"764",24,14.4680580357143,"2004",14.6432857142857,0.175227678571428,"1989-2020"
"765",24,14.4680580357143,"1993",12.643,-1.82505803571429,"1989-2020"
"766",24,14.4680580357143,"2007",17.495,3.02694196428572,"1989-2020"
"767",24,14.4680580357143,"2008",12.2902857142857,-2.17777232142857,"1989-2020"
"768",25,15.2339508928571,"2010",12.7607142857143,-2.47323660714286,"2010"
"769",25,15.2339508928571,"2014",12.7071428571429,-2.52680803571429,"1989-2020"
"770",25,15.2339508928571,"2015",11.495,-3.73895089285714,"1989-2020"
"771",25,15.2339508928571,"2000",18.4082857142857,3.17433482142857,"1989-2020"
"772",25,15.2339508928571,"2017",19.4595714285714,4.22562053571429,"1989-2020"
"773",25,15.2339508928571,"2001",12.3714285714286,-2.86252232142857,"1989-2020"
"774",25,15.2339508928571,"2016",16.425,1.19104910714286,"1989-2020"
"775",25,15.2339508928571,"1989",17.4822857142857,2.24833482142857,"1989-2020"
"776",25,15.2339508928571,"1990",14.944,-0.289950892857144,"1989-2020"
"777",25,15.2339508928571,"1997",11.4788571428571,-3.75509375,"1989-2020"
"778",25,15.2339508928571,"2002",18.7131428571429,3.47919196428571,"1989-2020"
"779",25,15.2339508928571,"1998",16.1437142857143,0.909763392857142,"1989-2020"
"780",25,15.2339508928571,"2013",18.7162857142857,3.48233482142857,"1989-2020"
"781",25,15.2339508928571,"2011",13.7361428571429,-1.49780803571429,"1989-2020"
"782",25,15.2339508928571,"2012",15.6522857142857,0.418334821428571,"1989-2020"
"783",25,15.2339508928571,"2003",16.3591428571429,1.12519196428571,"2003"
"784",25,15.2339508928571,"2020",16.5367142857143,1.30276339285714,"1989-2020"
"785",25,15.2339508928571,"1994",15.9691428571429,0.735191964285715,"1989-2020"
"786",25,15.2339508928571,"2018",14.9058571428571,-0.328093749999999,"2018"
"787",25,15.2339508928571,"2004",12.5204285714286,-2.71352232142857,"1989-2020"
"788",25,15.2339508928571,"2005",19.0114285714286,3.77747767857143,"1989-2020"
"789",25,15.2339508928571,"2006",17.5917142857143,2.35776339285714,"1989-2020"
"790",25,15.2339508928571,"1999",11.8748571428571,-3.35909375,"1989-2020"
"791",25,15.2339508928571,"2007",16.3931428571429,1.15919196428571,"1989-2020"
"792",25,15.2339508928571,"1996",11.484,-3.74995089285714,"1989-2020"
"793",25,15.2339508928571,"1992",14.6428571428571,-0.591093750000001,"1989-2020"
"794",25,15.2339508928571,"2019",19.047,3.81304910714286,"2019"
"795",25,15.2339508928571,"1991",13.2188571428571,-2.01509375,"1989-2020"
"796",25,15.2339508928571,"2008",16.2,0.966049107142856,"1989-2020"
"797",25,15.2339508928571,"1993",13.8947142857143,-1.33923660714286,"1989-2020"
"798",25,15.2339508928571,"1995",13.8752857142857,-1.35866517857143,"1989-2020"
"799",25,15.2339508928571,"2009",13.4674285714286,-1.76652232142857,"1989-2020"
"800",26,16.0508928571429,"2001",17.5217142857143,1.47082142857143,"1989-2020"
"801",26,16.0508928571429,"2018",17.3095714285714,1.25867857142857,"2018"
"802",26,16.0508928571429,"2000",10.7221428571429,-5.32875,"1989-2020"
"803",26,16.0508928571429,"1998",16.1291428571429,0.0782500000000006,"1989-2020"
"804",26,16.0508928571429,"2016",17.3445714285714,1.29367857142857,"1989-2020"
"805",26,16.0508928571429,"2017",15.7964285714286,-0.254464285714285,"1989-2020"
"806",26,16.0508928571429,"1989",15.8615714285714,-0.189321428571427,"1989-2020"
"807",26,16.0508928571429,"1990",18.2772857142857,2.22639285714286,"1989-2020"
"808",26,16.0508928571429,"2002",14.0152857142857,-2.03560714285714,"1989-2020"
"809",26,16.0508928571429,"2014",13.0707142857143,-2.98017857142857,"1989-2020"
"810",26,16.0508928571429,"2003",16.8122857142857,0.761392857142859,"2003"
"811",26,16.0508928571429,"2010",18.786,2.73510714285715,"2010"
"812",26,16.0508928571429,"2006",17.5031428571429,1.45225,"1989-2020"
"813",26,16.0508928571429,"1996",12.3128571428571,-3.73803571428571,"1989-2020"
"814",26,16.0508928571429,"2015",17.3465714285714,1.29567857142857,"1989-2020"
"815",26,16.0508928571429,"2004",14.1817142857143,-1.86917857142857,"1989-2020"
"816",26,16.0508928571429,"1999",15.6917142857143,-0.35917857142857,"1989-2020"
"817",26,16.0508928571429,"2012",16.4345714285714,0.383678571428572,"1989-2020"
"818",26,16.0508928571429,"1997",14.5191428571429,-1.53175,"1989-2020"
"819",26,16.0508928571429,"2011",15.932,-0.118892857142855,"1989-2020"
"820",26,16.0508928571429,"2005",17.0302857142857,0.979392857142859,"1989-2020"
"821",26,16.0508928571429,"2013",11.989,-4.06189285714286,"1989-2020"
"822",26,16.0508928571429,"2007",13.7107142857143,-2.34017857142857,"1989-2020"
"823",26,16.0508928571429,"1991",13.5447142857143,-2.50617857142857,"1989-2020"
"824",26,16.0508928571429,"2020",18.0315714285714,1.98067857142857,"1989-2020"
"825",26,16.0508928571429,"2019",20.961,4.91010714285714,"2019"
"826",26,16.0508928571429,"1994",19.9494285714286,3.89853571428571,"1989-2020"
"827",26,16.0508928571429,"1995",17.8415714285714,1.79067857142857,"1989-2020"
"828",26,16.0508928571429,"2008",16.4734285714286,0.422535714285715,"1989-2020"
"829",26,16.0508928571429,"1992",17.575,1.52410714285714,"1989-2020"
"830",26,16.0508928571429,"1993",13.2612857142857,-2.78960714285714,"1989-2020"
"831",26,16.0508928571429,"2009",17.6921428571429,1.64125,"1989-2020"
"832",27,16.6393482142857,"2000",15.3191428571429,-1.32020535714286,"1989-2020"
"833",27,16.6393482142857,"2017",17.953,1.31365178571428,"1989-2020"
"834",27,16.6393482142857,"1989",18.1232857142857,1.4839375,"1989-2020"
"835",27,16.6393482142857,"2001",17.7754285714286,1.13608035714286,"1989-2020"
"836",27,16.6393482142857,"2014",17.9558571428571,1.31650892857143,"1989-2020"
"837",27,16.6393482142857,"2016",15.2325714285714,-1.40677678571429,"1989-2020"
"838",27,16.6393482142857,"2013",17.1848571428571,0.545508928571429,"1989-2020"
"839",27,16.6393482142857,"1990",12.9478571428571,-3.69149107142857,"1989-2020"
"840",27,16.6393482142857,"1997",15.0937142857143,-1.54563392857143,"1989-2020"
"841",27,16.6393482142857,"2002",15.2188571428571,-1.42049107142857,"1989-2020"
"842",27,16.6393482142857,"2003",14.7431428571429,-1.89620535714286,"2003"
"843",27,16.6393482142857,"2004",13.6425714285714,-2.99677678571429,"1989-2020"
"844",27,16.6393482142857,"2018",18.6247142857143,1.98536607142857,"2018"
"845",27,16.6393482142857,"2011",14.9161428571429,-1.72320535714286,"1989-2020"
"846",27,16.6393482142857,"2015",22.1032857142857,5.4639375,"1989-2020"
"847",27,16.6393482142857,"2010",20.0017142857143,3.36236607142857,"2010"
"848",27,16.6393482142857,"1999",18.4548571428571,1.81550892857143,"1989-2020"
"849",27,16.6393482142857,"1994",18.2567142857143,1.61736607142857,"1989-2020"
"850",27,16.6393482142857,"1998",12.5887142857143,-4.05063392857143,"1989-2020"
"851",27,16.6393482142857,"1991",20.181,3.54165178571429,"1989-2020"
"852",27,16.6393482142857,"2005",15.2554285714286,-1.38391964285714,"1989-2020"
"853",27,16.6393482142857,"2006",20.0614285714286,3.42208035714286,"1989-2020"
"854",27,16.6393482142857,"2007",14.2992857142857,-2.3400625,"1989-2020"
"855",27,16.6393482142857,"2012",17.1561428571429,0.516794642857143,"1989-2020"
"856",27,16.6393482142857,"2019",14.6711428571429,-1.96820535714286,"2019"
"857",27,16.6393482142857,"1996",13.2941428571429,-3.34520535714286,"1989-2020"
"858",27,16.6393482142857,"1993",15.9907142857143,-0.648633928571428,"1989-2020"
"859",27,16.6393482142857,"1995",16.675,0.0356517857142862,"1989-2020"
"860",27,16.6393482142857,"2008",18.1402857142857,1.5009375,"1989-2020"
"861",27,16.6393482142857,"2020",16.8485714285714,0.209223214285714,"1989-2020"
"862",27,16.6393482142857,"1992",15.8177142857143,-0.821633928571428,"1989-2020"
"863",27,16.6393482142857,"2009",17.9318571428571,1.29250892857143,"1989-2020"
"864",28,16.3221116071429,"2000",11.968,-4.35411160714286,"1989-2020"
"865",28,16.3221116071429,"2016",17.8115714285714,1.48945982142857,"1989-2020"
"866",28,16.3221116071429,"2017",15.7898571428571,-0.532254464285716,"1989-2020"
"867",28,16.3221116071429,"2001",15.3891428571429,-0.932968750000001,"1989-2020"
"868",28,16.3221116071429,"2014",16.0368571428571,-0.285254464285718,"1989-2020"
"869",28,16.3221116071429,"2015",15.5087142857143,-0.813397321428573,"1989-2020"
"870",28,16.3221116071429,"1990",14.4494285714286,-1.87268303571429,"1989-2020"
"871",28,16.3221116071429,"1989",15.326,-0.996111607142858,"1989-2020"
"872",28,16.3221116071429,"2018",16.7241428571429,0.40203125,"2018"
"873",28,16.3221116071429,"2002",17.4007142857143,1.07860267857143,"1989-2020"
"874",28,16.3221116071429,"1996",14.5397142857143,-1.78239732142857,"1989-2020"
