"","year","week","full_date","weeklysm","sd","smAverage","smAnomaly"
"473",2011,23,2011-06-10,40.7035119047619,3.07000767280539,43.7793462301587,-3.07583432539683
"474",2009,24,2009-06-17,44.7233333333333,2.47156301588657,43.3237800595238,1.39955327380949
"475",2017,24,2017-06-17,42.8016666666667,2.47156301588657,43.3237800595238,-0.522113392857115
"476",2007,24,2007-06-17,44.0931547619048,2.47156301588657,43.3237800595238,0.769374702380986
"477",2002,24,2002-06-17,45.8399702380952,2.47156301588657,43.3237800595238,2.51619017857139
"478",2016,24,2016-06-16,45.6961607142857,2.47156301588657,43.3237800595238,2.37238065476189
"479",2014,24,2014-06-17,44.8909523809524,2.47156301588657,43.3237800595238,1.56717232142859
"480",2011,24,2011-06-17,40.09,2.47156301588657,43.3237800595238,-3.23378005952381
"481",2010,24,2010-06-17,45.1475297619048,2.47156301588657,43.3237800595238,1.82374970238099
"482",2003,24,2003-06-17,41.0818452380952,2.47156301588657,43.3237800595238,-2.24193482142861
"483",2005,24,2005-06-17,44.4680059523809,2.47156301588657,43.3237800595238,1.14422589285709
"484",2015,24,2015-06-17,41.1430654761905,2.47156301588657,43.3237800595238,-2.18071458333331
"485",2008,24,2008-06-16,42.7371130952381,2.47156301588657,43.3237800595238,-0.586666964285712
"486",2000,24,2000-06-16,46.6819047619048,2.47156301588657,43.3237800595238,3.35812470238099
"487",2001,24,2001-06-17,46.2286904761905,2.47156301588657,43.3237800595238,2.90491041666669
"488",2020,24,2020-06-16,40.4259285714286,2.47156301588657,43.3237800595238,-2.89785148809521
"489",2019,24,2019-06-17,42.6236904761905,2.47156301588657,43.3237800595238,-0.700089583333316
"490",2012,24,2012-06-16,43.5505952380952,2.47156301588657,43.3237800595238,0.226815178571385
"491",2006,24,2006-06-17,44.6898214285714,2.47156301588657,43.3237800595238,1.36604136904759
"492",2018,24,2018-06-17,36.782380952381,2.47156301588657,43.3237800595238,-6.54139910714282
"493",2004,24,2004-06-16,42.7797916666667,2.47156301588657,43.3237800595238,-0.543988392857109
"494",2018,25,2018-06-24,34.1485714285714,2.89496162740224,42.7286032167372,-8.58003178816575
"495",2009,25,2009-06-24,45.8396130952381,2.89496162740224,42.7286032167372,3.11100987850094
"496",2003,25,2003-06-24,39.9671428571429,2.89496162740224,42.7286032167372,-2.76146035959425
"497",2002,25,2002-06-24,44.2675297619048,2.89496162740224,42.7286032167372,1.53892654516764
"498",2007,25,2007-06-24,43.6725892857143,2.89496162740224,42.7286032167372,0.943986068977146
"499",2001,25,2001-06-24,46.2965773809524,2.89496162740224,42.7286032167372,3.56797416421524
"500",2000,25,2000-06-23,46.3582142857143,2.89496162740224,42.7286032167372,3.62961106897714
"501",2015,25,2015-06-24,40.4425892857143,2.89496162740224,42.7286032167372,-2.28601393102286
"502",2016,25,2016-06-23,45.2137797619048,2.89496162740224,42.7286032167372,2.48517654516765
"503",2019,25,2019-06-24,40.7027678571429,2.89496162740224,42.7286032167372,-2.02583535959425
"504",2012,25,2012-06-23,44.6423214285714,2.89496162740224,42.7286032167372,1.91371821183424
"505",2005,25,2005-06-24,42.6496130952381,2.89496162740224,42.7286032167372,-0.0789901214990536
"506",2017,25,2017-06-24,40.9660714285714,2.89496162740224,42.7286032167372,-1.76253178816576
"507",2010,25,2010-06-24,43.7478571428571,2.89496162740224,42.7286032167372,1.01925392611994
"508",2013,25,2013-06-24,44.4690157657658,2.89496162740224,42.7286032167372,1.74041254902865
"509",2006,25,2006-06-24,43.3101785714286,2.89496162740224,42.7286032167372,0.581575354691445
"510",2014,25,2014-06-24,43.0650892857143,2.89496162740224,42.7286032167372,0.336486068977145
"511",2004,25,2004-06-23,41.1867857142857,2.89496162740224,42.7286032167372,-1.54181750245146
"512",2020,25,2020-06-23,44.9886160714286,2.89496162740224,42.7286032167372,2.26001285469145
"513",2008,25,2008-06-23,42.244255952381,2.89496162740224,42.7286032167372,-0.484347264356153
"514",2011,25,2011-06-24,39.1214880952381,2.89496162740224,42.7286032167372,-3.60711512149906
"515",2002,26,2002-07-01,41.7884821428571,3.25214593409616,41.498693452381,0.289788690476144
"516",2009,26,2009-07-01,45.448244047619,3.25214593409616,41.498693452381,3.94955059523804
"517",2000,26,2000-06-30,45.6137797619048,3.25214593409616,41.498693452381,4.11508630952385
"518",2007,26,2007-07-01,44.3836011904762,3.25214593409616,41.498693452381,2.88490773809524
"519",2012,26,2012-06-30,45.2708630952381,3.25214593409616,41.498693452381,3.77216964285714
"520",2016,26,2016-06-30,42.2109523809524,3.25214593409616,41.498693452381,0.712258928571444
"521",2017,26,2017-07-01,40.7799107142857,3.25214593409616,41.498693452381,-0.718782738095257
"522",2010,26,2010-07-01,41.6880357142857,3.25214593409616,41.498693452381,0.189342261904741
"523",2003,26,2003-07-01,37.7668154761905,3.25214593409616,41.498693452381,-3.73187797619045
"524",2014,26,2014-07-01,41.8628273809524,3.25214593409616,41.498693452381,0.364133928571448
"525",2015,26,2015-07-01,40.3129761904762,3.25214593409616,41.498693452381,-1.18571726190476
"526",2008,26,2008-06-30,41.2433630952381,3.25214593409616,41.498693452381,-0.255330357142853
"527",2001,26,2001-07-01,45.3467261904762,3.25214593409616,41.498693452381,3.84803273809524
