"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"79",553,13.4935893246578,13.6549559422802,5.15505415115294,5.38117532145794,-8.14968246697549,-8.01060882572127,189,2001,14.73482091,1.266686399,NA,-9999,-8.778286778,0.652087362,2001-07-06
"80",560,11.1122844857689,11.2841393701755,5.31141422116827,5.53861393277696,-6.41712380689149,-6.28120635942104,196,2001,12.14842932,1.204829157,NA,-9999,-7.29259617,0.612703833,2001-07-13
"81",567,12.3306264784094,12.4844016416129,5.3989470593478,5.62670938121207,-7.37841530841218,-7.21145726393634,203,2001,13.65069619,1.409026905,NA,-9999,-8.569932148,0.686399155,2001-07-20
"82",574,12.6224995541801,12.7520933338089,5.44656910117283,5.68484043958546,-7.21903928294255,-6.97422360979222,210,2001,14.4514112,1.49297099,NA,-9999,-9.932303786,0.747531321,2001-07-27
"83",581,11.8144849522925,11.9674383457285,5.45063491799553,5.70187055770403,-6.75511383165001,-6.62635161730713,217,2001,12.75326728,1.418818394,NA,-9999,-8.187716319,0.673234296,2001-08-03
"84",588,9.98376386134725,10.1661826375934,5.39511203585398,5.66320115818792,-5.55659881749095,-5.43049872524571,224,2001,11.24770026,1.298411048,NA,-9999,-6.956474027,0.637896353,2001-08-10
"85",595,8.884287329237,9.18764326916848,5.26587659803163,5.54464836283028,-4.31622517166623,-4.01985819986522,231,2001,11.10357556,1.371395773,NA,-9999,-6.416069386,0.697660041,2001-08-17
"86",602,6.0211405068683,6.15132123963203,5.06159293039463,5.33502885902408,-2.03475615747098,-1.80021800530191,238,2001,10.59015593,1.514643806,NA,-9999,-4.392655033,0.722557366,2001-08-24
"87",609,7.45556602613111,7.50697911532875,4.75535830269113,5.01092876605421,-3.54644575413934,-3.41332145440566,245,2001,10.15699851,1.313695663,NA,-9999,-5.974603881,0.714414833,2001-08-31
"88",616,5.4057638533661,5.52903476223197,4.38860397464029,4.61739993745766,-2.11344783567806,-2.03071151360913,252,2001,6.944013406,1.189099156,NA,-9999,-3.998601512,0.591255182,2001-09-07
"89",623,3.91200463150852,4.00748906737961,3.93108225197718,4.12349433006619,-0.998181472125137,-0.933816748200291,259,2001,5.648294187,1.131708997,NA,-9999,-2.792562501,0.601849895,2001-09-14
"90",630,5.07281345775708,5.18669821836314,3.39979967906501,3.55456652774625,-1.89128435568958,-1.81826557167916,266,2001,6.677971828,1.210981758,NA,-9999,-3.63205815,0.634834399,2001-09-21
"91",637,3.94176839373768,4.04634526358495,2.85312811324189,2.97866716842053,-0.900035607789121,-0.823462192768192,273,2001,4.759475336,1.443236054,NA,-9999,-1.868502568,0.661834165,2001-09-28
"92",644,3.22165451515482,3.32982555257984,2.30415655745498,2.41139016086855,-0.215325684168338,-0.128851376600148,280,2001,1.979104298,1.537223681,NA,-9999,-0.268756188,0.666547863,2001-10-05
"93",651,3.39009243055595,3.54101091722226,1.7990794040155,1.90213632488344,-0.359704060917447,-0.25637193669107,287,2001,0.825513598,1.487709279,NA,-9999,-0.175296686,0.664295345,2001-10-12
"94",658,2.18086976606539,2.32987908795434,1.37244122590841,1.48864944984908,0.464402831436186,0.551234248435154,294,2001,1.529059989,1.446310303,NA,-9999,0.732266953,0.757535805,2001-10-19
"95",665,1.11598886342672,1.23393743838673,1.01993044543283,1.14520484283887,1.24497928762982,1.32707548287178,301,2001,1.668710266,1.29159193,NA,-9999,1.326381739,0.58565463,2001-10-26
"96",672,0.953766004038948,1.10786026374675,0.742766737472848,0.879494240316614,1.28289682590456,1.37866835471061,308,2001,0.803147688,1.393317878,NA,-9999,1.962723642,0.622933858,2001-11-02
"97",679,0.541484438634731,0.671894666841506,0.541073705562743,0.68737587415288,1.3503380305397,1.43572092905138,315,2001,0.523869497,1.249646417,NA,-9999,2.641061428,0.622330456,2001-11-09
"98",686,0.383260283199941,0.518862983068473,0.397227234962109,0.545999916810494,1.475273339607,1.5626226178628,322,2001,0.264918056,1.439909438,NA,-9999,2.622938905,0.643718424,2001-11-16
"99",693,0.186322415754947,0.275482548490157,0.299280111620526,0.447373271098812,1.63932583164727,1.71351300980587,329,2001,0.052960489,1.394829502,NA,-9999,1.66003722,0.583063133,2001-11-23
"100",700,0.0763528002125881,0.121810215489105,0.234089033393555,0.377731443775309,1.78774950730505,1.88878382436923,336,2001,0.174671648,1.232156269,NA,-9999,1.759849135,0.606545395,2001-11-30
"101",707,0.0590037408320895,0.0991355987788069,0.190482502912044,0.327411326096841,1.66936484118505,1.77164612862524,343,2001,0.098320249,1.638034665,NA,-9999,1.600997721,0.58,2001-12-07
"102",714,0.0856812163837056,0.156796230658756,0.160551897315638,0.292559978559252,1.45890317285265,1.53863664442761,350,2001,0.09385127,1.389463849,NA,-9999,1.381860443,0.647141802,2001-12-14
"103",721,0.0823549147761034,0.158650614524958,0.140619430450837,0.269251067236268,1.48997489005022,1.56956926023274,357,2001,0.078478134,1.361858944,NA,-9999,1.155137179,0.702304169,2001-12-21
