"","date","year","month","week","doy","gpp_z_scores","temp_z_scores","sm1_z_scores","sm2_z_scores","sm3_z_scores","vpd_z_scores","swr_z_scores"
"382","2016-05-04",2016,"May",18,126,1.06949484263855,-0.455125505487434,0.0699226083399263,0.0525773410011603,1.20682284561879,0.300895868936668,0.746289065589489
"383","2016-05-11",2016,"May",19,133,1.17485748389387,1.21484774599551,-1.05832222134205,-0.818527670769616,0.0251594338031939,1.10692857796706,1.49927312283254
"384","2016-05-18",2016,"May",20,140,-0.58092525111465,-1.05588564416731,-1.75359184765314,-1.23959801077413,-0.558774837949985,-0.188267598403388,-0.821136826393852
"385","2016-05-25",2016,"May",21,147,-0.0971721633213832,-0.133023405266078,-1.56981289929819,-1.19651498995866,-0.536814682472101,-0.185596174350876,-0.844926511597925
"386","2016-06-01",2016,"Jun",22,154,-1.35553775140462,0.119022846713505,-0.203720330892224,-0.235134389098996,0.454792640165484,-1.24362539003708,-1.34047279449814
"387","2016-06-08",2016,"Jun",23,161,0.605428309096636,0.480265309400565,-0.113846936676755,-0.0357846408447343,0.63775595479669,0.472610612986781,0.167916056487514
"388","2016-06-15",2016,"Jun",24,168,-0.958307340682211,-0.847059173848184,0.200278377734041,0.369024528230172,0.959870591812888,-0.976801169467223,-1.27158344066792
"389","2016-06-22",2016,"Jun",25,175,0.896980079643353,0.21715491237584,0.326541923107812,0.418484173084755,0.858448872566815,0.0441976899013155,0.373981682023649
"390","2016-06-29",2016,"Jun",26,182,0.600607272063074,0.45824826505804,-0.358947819572182,0.0485812486266539,0.21901198255096,-0.0040545558271655,0.511621920719842
"391","2016-07-06",2016,"Jul",27,189,0.182655504422758,-0.630950729026382,-0.300264387574784,0.00562623297242147,0.228694012984055,-0.362083560688119,-0.0101066767582398
"392","2016-07-13",2016,"Jul",28,196,0.537670925475316,0.497831618727255,-0.696317939581045,-0.285788939096588,-0.0699790007928229,0.668830600850337,0.295034192680637
"393","2016-07-20",2016,"Jul",29,203,0.430969069719424,0.327533145240929,-0.680618915288459,-0.25311435759397,-0.0623367981179396,0.0848462828455205,0.00707300619082773
