doy,mint_C,maxt_C,airt_C,co2_ppm,swrad_MJm2day,vpd_kPa,precip_kgm2s,wind_spd_ms,SWC_1,SWC_1_unc,SWC_2,SWC_2_unc,SWC_3,SWC_3_unc
210,18.07,25.3471428571429,21.6333928571429,360.824113095238,24.2620398,1.1688369047619,0,1.88016369047619,33.4053898809524,3.34053898809524,22.1376488095238,2.21440932653331,43.4892857142857,4.34892857142857
217,14.6928571428571,22.4142857142857,18.426755952381,363.878949404762,18.1188,0.722838690476191,3.30687830687831E-07,3.08803273809524,26.759005952381,2.6759005952381,17.7065476190476,1.77146041535102,40.6146130952381,4.06146130952381
224,11.5371428571429,17.3571428571429,14.4450744047619,372.329035714286,14.4004798285714,0.399361607142857,1.58730158730159E-05,3.79447916666667,26.009694534632,2.60105200646367,17.3396482683983,1.73501865702584,39.9357196969697,3.99357877033109
231,17.0985714285714,24.9228571428571,21.0767857142857,368.141892857143,17.815203,1.00788392857143,3.96825396825397E-06,2.72881845238095,23.6837946428571,2.36837946428571,16.2441071428571,1.62528886232134,38.9683928571429,3.89683928571429
238,17.42,24.8357142857143,21.0577083333333,365.248086309524,16.7105039142857,0.989506845238095,1.27314814814815E-05,2.10747321428571,22.9822648809524,2.29822648809524,15.4024107142857,1.54116717958014,38.3788095238095,3.83788095238095
245,10.4128571428571,18.5257142857143,14.4254464285714,363.796946428571,14.5203253714286,0.537158928571429,1.00859788359788E-05,2.93740476190476,21.1446964285714,2.11446964285714,14.080505952381,1.40906358836283,37.6691964285714,3.76691964285714
252,8.63142857142857,13.0371428571429,10.5916666666667,363.314848214286,7.53496842857143,0.138962797619048,7.90343915343915E-05,4.21664880952381,26.6311398809524,2.66311398809524,14.1673214285714,1.41773893291543,37.9034523809524,3.79034523809524
259,7.93285714285714,10.68,9.15020833333333,363.625327380952,5.49424337142857,0.11500505952381,5.6712962962963E-05,4.101875,35.9836845238095,3.59836845238095,15.9864285714286,1.59953515184677,40.8690178571429,4.08690178571429
266,6.84714285714286,12.1042857142857,9.2135119047619,363.040196428571,8.80819585714286,0.198552380952381,1.30621693121693E-05,3.33213392857143,37.4447678571429,3.74447678571429,20.2680654761905,2.02751041890567,42.523630952381,4.2523630952381
273,9.10285714285714,13.8285714285714,11.398125,368.1031875,7.02316362857143,0.18872380952381,1.5542328042328E-05,2.814875,36.9240476190476,3.69240476190476,22.6834523809524,2.26897418153864,42.0614583333333,4.20614583333333
280,11.0871428571429,16.4071428571429,13.6869047619048,388.688357142857,6.43244014285714,0.262452678571429,1.5542328042328E-05,3.2923244047619,37.7226785714286,3.77226785714286,25.4797619047619,2.548536125805,41.4391964285714,4.14391964285714
287,10.3714285714286,16.6357142857143,13.3227083333333,388.984854166667,8.91671528571429,0.423248214285714,1.65343915343915E-06,3.8074494047619,33.3679107142857,3.33679107142857,21.645,2.16515910900321,40.5807142857143,4.05807142857143
294,8.79428571428571,13.23,11.0145535714286,391.860035714286,6.86401302857143,0.151203869047619,1.32275132275132E-06,2.24008333333333,29.2930892857143,2.92930892857143,19.0577083333333,1.90651939053439,39.7610119047619,3.97610119047619
301,8.30285714285714,11.3114285714286,9.69723214285714,379.185166666667,4.12870808571429,0.103077678571429,5.12566137566138E-06,3.12770535714286,31.0933392857143,3.10933392857143,19.5153869047619,1.95226969902345,39.5097916666667,3.95097916666667
308,5.46571428571429,10.1771428571429,7.88127976190476,374.783910714286,5.02618242857143,0.196731547619048,2.97619047619048E-06,4.19783630952381,31.8437023809524,3.18437023809524,21.0231547619048,2.10299407482037,39.2118154761905,3.92118154761905
315,-0.242857142857143,4.33714285714286,2.20895833333333,373.297952380952,3.32653602857143,0.108795833333333,3.88558201058201E-05,3.90941071428571,37.1974017857143,3.71974017857143,26.853869047619,2.68591819413144,42.2136904761905,4.22136904761905
322,0.287142857142857,3.83714285714286,1.97714285714286,374.573357142857,3.67457708571429,0.0819994047619048,3.96825396825397E-06,2.20620535714286,40.8512738095238,4.08512738095238,32.0185416666667,3.20229977077417,45.3979166666667,4.53979166666667
