"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"65",455,0.741742533015997,0.807672514193944,0.433186525139547,0.474976709826851,1.98466280677046,2.12100047932457,91,2016,2.571360929,1.506531778,0.82,0.25,0.79394017,1.000044319,2016-03-30
"66",462,1.29674800175881,1.39869764432599,0.461350548107938,0.499277636308749,2.2658955769975,2.40612474989737,98,2016,0.970638163,1.515888662,0.4,0.25,2.155375946,1.019902092,2016-04-06
"67",469,1.50607315076057,1.59796318000138,0.535692965780266,0.568573985036904,2.27082152078602,2.40062308584968,105,2016,1.43011427,1.431400417,1.06,0.34,3.677049489,1.01077556,2016-04-13
"68",476,1.95586301817928,2.03986250445492,0.711265029318658,0.742925143316546,2.37802833893094,2.49997491113657,112,2016,1.953270529,1.366425852,0.58,0.25,3.821248105,1.001441046,2016-04-20
"69",483,2.49860218657866,2.5807872117485,1.09739365962468,1.13925459743433,2.35364784735443,2.47884259434674,119,2016,2.300402258,1.357896839,1.39,0.29,3.12775286,1.000065369,2016-04-27
"70",490,5.31531604376355,5.44011120232903,1.79369831484994,1.85159149891741,3.31194457098809,3.43308615275539,126,2016,3.673625452,1.363358847,1.5,0.31,3.845787201,1.000125638,2016-05-04
"71",497,7.95632649415749,8.06417528344289,2.81653360969147,2.8865119669318,4.25524724673789,4.41215527817559,133,2016,7.168868126,1.458159378,3.1,0.78,5.820398421,1.000110617,2016-05-11
"72",504,7.90433019650845,7.98989663957155,3.90800193132203,3.99122318925845,4.00690237225733,4.17370821043611,140,2016,8.299653301,1.176040794,4.83,1.01,5.030831555,1.000011313,2016-05-18
"73",511,9.3274374092492,9.39183460675263,4.75880050247561,4.84043419965679,4.55849666782824,4.74827745980039,147,2016,9.310989856,1.386640976,NA,-9999,5.675571584,1.000178438,2016-05-25
"74",518,9.63182637331429,9.70066518645665,5.30479126644082,5.39520739501265,4.71951582276023,4.91105927215899,154,2016,10.79049333,1.477699834,NA,-9999,5.193937522,1.000309955,2016-06-01
"75",525,11.7083865985328,11.7859901233681,5.67983845760684,5.7738555827515,5.37835380854369,5.612842917669,161,2016,13.35207006,1.356818628,4.5,0.91,5.70903468,1.000195248,2016-06-08
"76",532,10.7680848321941,10.8444220449897,5.99237421794179,6.08452201252615,4.98803369478417,5.20077043527452,168,2016,12.02566978,1.405382531,5.8,1.39,5.322358872,1.00014733,2016-06-15
"77",539,13.2472168303145,13.3421855837986,6.25618315132661,6.34944073923291,5.74261527460695,6.02256402894136,175,2016,14.18849324,1.402270242,NA,-9999,6.404110114,1.000206527,2016-06-22
"78",546,13.6741124713371,13.7692082686392,6.47516636158602,6.56735910705717,5.89213697772587,6.1900072742422,182,2016,14.21895893,1.416228068,6.8,1.36,5.580318687,1.001581987,2016-06-29
"79",553,12.619309221464,12.6994351243621,6.63231977709774,6.73098433365662,5.50986937087677,5.77542642792649,189,2016,11.84576943,1.41810926,5.23,2.03,3.999841458,1.000180332,2016-07-06
"80",560,12.4856019449846,12.572056645244,6.69081155834453,6.78767276266088,5.59530805603318,5.85121149300106,196,2016,12.28484783,1.404014712,6.07,1.27,4.072081278,1.000183593,2016-07-13
"81",567,12.4134086357299,12.4849831856085,6.65699245517663,6.75431667032497,5.62515979014086,5.87571523773948,203,2016,12.29622288,1.410597908,NA,-9999,5.024780875,1.000274448,2016-07-20
"82",574,11.5133264147882,11.5791060043604,6.54141816077848,6.63282007405363,5.48235154492797,5.70464979885927,210,2016,10.61709853,1.495869337,5.85,1.41,5.049839023,1.046685188,2016-07-27
"83",581,9.07583619729338,9.12086751494917,6.34063695548996,6.45486952585835,4.63116902698919,4.80721716246082,217,2016,NA,2.116306013,2.53,0.9,NA,1.147121965,2016-08-03
"84",588,10.779853179038,10.8493024200478,6.04588217160916,6.18846871589022,5.03170308715506,5.24671384114733,224,2016,9.136868963,1.422578881,5.14,1.05,3.97289334,1.006215151,2016-08-10
"85",595,11.1159544119524,11.2146297956994,5.71186133269775,5.87582778464269,5.18807568075012,5.41388878473839,231,2016,10.31266596,1.33914502,5.5,1.12,4.344366709,1.000131378,2016-08-17
"86",602,10.1466875054418,10.224517134091,5.32978404370775,5.51735556537368,5.06190135969484,5.25784960727544,238,2016,8.613378103,1.484079699,5.17,1.07,4.378593021,1.000324785,2016-08-24
"87",609,7.47036462405818,7.73364945669709,4.89571784664513,5.08204239173399,4.46022528061308,4.63796924601751,245,2016,6.951453521,1.35100663,5.19,1.11,4.002791021,1.003458331,2016-08-31
"88",616,6.26899167648126,6.38086263818197,4.40238222800952,4.57295948591364,3.99493054932632,4.14031291135689,252,2016,6.126653703,1.320092015,4.69,0.96,3.101701185,1.000172282,2016-09-07
