"","date","year","day","doy","mod_gpp_sim","mod_gpp_unc95_sim","mod_lai_sim","mod_lai_unc95_sim","mod_nee_sim","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc"
"77",2016-06-22,2016,539,175,15.2055494052306,15.2849797602113,4.44714121230794,4.51674703437386,9.04294207643212,14.18849324,1.402270242,NA,-9999,-7.157633007,0.685497183
"78",2016-06-29,2016,546,182,15.9676216640644,16.0477217669628,4.70280192652932,4.77691154970354,9.57009388070338,14.21895893,1.416228068,6.8,1.36,-8.484967091,0.685197326
"79",2016-07-06,2016,553,189,15.1753166654759,15.2959534712198,4.93889483110856,5.01600769260936,9.13824576930598,11.84576943,1.41810926,5.23,2.03,-7.607529432,0.664438571
"80",2016-07-13,2016,560,196,14.8884925943525,14.9606176554543,5.11962228929297,5.20592928838342,8.6914264957108,12.28484783,1.404014712,6.07,1.27,-7.822395138,0.665859391
"81",2016-07-20,2016,567,203,14.7643803392105,14.8409562274883,5.24237401518258,5.33358882861613,8.5084011325287,12.29622288,1.410597908,NA,-9999,-7.144528358,0.634193637
"82",2016-07-27,2016,574,210,13.7475135181185,13.8155582762309,5.30263614704389,5.39578428280731,7.54353313523648,10.61709853,1.495869337,5.85,1.41,-5.802114947,0.715033242
"83",2016-08-03,2016,581,217,10.4656806208678,10.5207772544359,5.29658162312586,5.39024892379153,5.31797157336192,NA,2.116306013,2.53,0.9,NA,0.911057024
"84",2016-08-10,2016,588,224,13.5095667921123,13.5815688299882,5.19743919352901,5.28724445591841,7.817280114575,9.136868963,1.422578881,5.14,1.05,-5.153691672,0.703877494
"85",2016-08-17,2016,595,231,14.20135352519,14.2827542850142,5.08133777723172,5.17809727612686,8.24393814868339,10.31266596,1.33914502,5.5,1.12,-5.85902209,0.642613852
"86",2016-08-24,2016,602,238,12.9282370523775,12.99050450695,4.90890292893284,5.00745889814814,7.01548691112125,8.613378103,1.484079699,5.17,1.07,-4.391606939,0.724991186
"87",2016-08-31,2016,609,245,10.8410135705224,10.9241680529009,4.65681357644586,4.75679246629648,5.19580282925314,6.951453521,1.35100663,5.19,1.11,-3.265877331,0.696182045
